id,media_type,width,height,aspect_ratio,mean_r,mean_g,mean_b,std_r,std_g,std_b,brightness,saturation_proxy,colorfulness,edge_density,text_area_ratio,clip_dim,company_name,has_company_name,company_name_length,fps,duration_sec,frame_count,avg_motion,shot_changes,early_action_ratio,transcript,has_speech,word_count,sentence_count,avg_words_per_sentence,transcript_length,ad_keyword_count,ad_keyword_density,has_call_to_action
i0001,image,430,732,0.587431693989071,107.34925975346296,95.12295081967213,86.29049116787394,101.20801252334269,101.01108786169227,104.23154071760472,97.08456051213619,10.240217208862305,106.67098820778511,0.10023827678231033,0.0,512,,False,0.0,,,,,,,,,,,,,,,
i0002,image,430,645,0.6666666666666666,206.49285018929152,196.87250766179918,200.91319992788894,67.27760975391949,72.66964548350045,69.09425344099768,199.20953046475572,10.19266414642334,164.6361461045504,0.09737876329547503,0.0,512,,False,0.0,,,,,,,,,,,,,,,
i0003,image,555,717,0.7740585774058577,94.6664002915049,94.80229434455376,94.84298943294759,107.4061491991153,107.1281981631138,107.10780148448126,94.7763414542576,3.5247254371643066,160.74311871150476,0.05775063766695566,0.0,512,,False,0.0,,,,,,,,,,,,,,,
i0004,image,430,618,0.6957928802588996,105.41034469782494,108.14203732972078,111.2154587190487,99.93436170797021,99.22740723481228,98.19740750663217,107.78318050048915,3.8802831172943115,182.42233031697583,0.08153458267479491,0.0,512,,False,0.0,,,,,,,,,,,,,,,
i0005,image,430,625,0.688,189.9003423255814,152.0141953488372,130.57219720930232,77.89660552939493,91.67268542684067,101.64510887761747,158.5206779304186,26.560375213623047,114.2234187486241,0.08421953488372093,0.0,512,,False,0.0,,,,,,,,,,,,,,,
i0006,image,430,625,0.688,219.17761860465117,181.87368558139534,111.3261953488372,58.62500815299367,63.452609996561975,97.217748692427,184.7109729473488,46.71939468383789,107.95890906127626,0.09384186046511628,0.0,512,,False,0.0,,,,,,,,,,,,,,,
i0007,image,430,436,0.9862385321100917,236.56898869212716,237.16718049925325,237.49430339236184,57.30402423216128,55.612036348626226,54.85536551763436,237.06362319394063,1.5838552713394165,104.29273080971942,0.03455835289097504,0.0,512,,False,0.0,,,,,,,,,,,,,,,
i0008,image,430,604,0.7119205298013245,202.97268596950562,207.37736023409826,207.87918142615123,63.823021108278944,52.300219786157875,48.657102717159155,206.4771579755121,7.4876933097839355,138.03093458126648,0.06933235792391806,0.0,512,,False,0.0,,,,,,,,,,,,,,,
i0009,image,520,879,0.5915813424345847,121.72988754703772,125.39934803535486,132.14292027653804,84.5384040596431,88.69817678342729,90.06470143960986,125.10610665135204,9.604637145996094,162.87665996969397,0.03898442285814299,0.0,512,,False,0.0,,,,,,,,,,,,,,,
i0010,image,520,879,0.5915813424345847,89.40535573641375,122.40312199177387,123.69474709022491,90.25804827785743,69.0854703881671,70.07095287329884,115.48105221799246,18.733495712280273,153.40221237764644,0.03844622385578017,0.0,512,,False,0.0,,,,,,,,,,,,,,,
i0011,image,555,737,0.7530529172320217,227.59115723593337,168.92152260808976,216.5234246458127,62.26189643465502,60.76338799722177,56.84016775377348,184.83154425709287,28.706193923950195,148.041442513257,0.06669111445230848,0.0,512,,False,0.0,,,,,,,,,,,,,,,
i0012,image,430,744,0.5779569892473119,162.44430170042511,194.3112121780445,187.22359027256815,114.36295461614304,74.43014387429699,83.30485481186071,187.02458070892718,15.769704818725586,158.05012957309188,0.10818954738684672,0.0,512,,False,0.0,,,,,,,,,,,,,,,
i0013,image,430,604,0.7119205298013245,184.78006699522564,212.85689588787926,220.1626405359618,96.99693741888295,67.7152745125894,64.8258807365384,207.4152368288926,23.492523193359375,168.23144205527748,0.06143924226089635,0.0,512,,False,0.0,,,,,,,,,,,,,,,
i0014,image,430,872,0.49311926605504586,143.07870706208664,187.26819660763815,199.2028429699168,111.54608561914891,72.8256761591154,79.88806212477986,178.73519259761042,38.2784423828125,154.42394862879803,0.05420844890121613,0.0,512,,False,0.0,,,,,,,,,,,,,,,
i0015,image,430,625,0.688,149.38960372093024,162.64199441860464,171.11932651162792,86.62806759625106,78.89608461065194,83.49639848117998,160.4365995333953,18.27893829345703,167.56572026273258,0.10278697674418605,0.0,512,,False,0.0,,,,,,,,,,,,,,,
i0016,image,430,931,0.46186895810955964,57.721045137761344,57.703991706841855,58.068171258711565,101.25205885309889,101.2839791511745,101.2334453263919,57.733911029900334,0.8241394758224487,96.20564133284002,0.06392726001049134,0.0,512,,False,0.0,,,,,,,,,,,,,,,
i0017,image,430,706,0.6090651558073654,219.39508860926279,218.3519434745372,215.89499308254827,80.78115170978045,81.6407457829217,83.6236001637402,218.39632431187826,2.7259576320648193,123.53352176675756,0.04403781540285921,0.0,512,,False,0.0,,,,,,,,,,,,,,,
i0018,image,430,921,0.46688382193268185,189.6633361109007,179.96794687271165,176.45263995151882,55.20452714719797,62.09851814169899,65.38616839119148,181.77538146504057,8.044795989990234,147.8144520627504,0.05416256344216347,0.0,512,,False,0.0,,,,,,,,,,,,,,,
v0001,video,720,720,1.0,,,,,,,,,,,,512,,,,23.976,15.015015015015015,360.0,25.479665881758187,8.0,0.22452769078199863,,False,0.0,0.0,0.0,0.0,0.0,0.0,False
v0002,video,720,720,1.0,,,,,,,,,,,,512,,,,29.97,15.015015015015015,450.0,20.595722049276294,1.0,0.49377715378012244,,False,0.0,0.0,0.0,0.0,0.0,0.0,False
v0003,video,1920,1080,1.7777777777777777,,,,,,,,,,,,512,,,,30.0,15.0,450.0,6.302020873243934,0.0,0.3100459970069255,,False,0.0,0.0,0.0,0.0,0.0,0.0,False
