id,media_type,width,height,aspect_ratio,mean_r,mean_g,mean_b,std_r,std_g,std_b,brightness,saturation_proxy,colorfulness,edge_density,text_area_ratio,clip_dim,company_name,has_company_name,company_name_length,fps,duration_sec,frame_count,avg_motion,shot_changes,early_action_ratio,transcript,has_speech,word_count,sentence_count,avg_words_per_sentence,transcript_length,ad_keyword_count,ad_keyword_density,has_call_to_action
v0014,video,720,1280,0.5625,,,,,,,,,,,,512,,,,30.0,15.4,462.0,39.88996893084491,10.0,0.22478727180254637,,False,0.0,0.0,0.0,0.0,0.0,0.0,False
v0015,video,1920,1080,1.7777777777777777,,,,,,,,,,,,512,,,,23.97604171831259,15.014988888888888,360.0,26.804896498509997,11.0,0.24047988787506047,,False,0.0,0.0,0.0,0.0,0.0,0.0,False
v0016,video,720,900,0.8,,,,,,,,,,,,512,,,,30.0,15.233333333333333,457.0,8.43029470164609,1.0,0.33317957853851043,,False,0.0,0.0,0.0,0.0,0.0,0.0,False
v0017,video,720,900,0.8,,,,,,,,,,,,512,,,,30.0,15.466666666666667,464.0,16.349553549382716,1.0,0.10117022098661387,,False,0.0,0.0,0.0,0.0,0.0,0.0,False
v0018,video,1920,1080,1.7777777777777777,,,,,,,,,,,,512,,,,23.976023976023978,15.014999999999999,360.0,36.32084514021924,11.0,0.23348106298360094,,False,0.0,0.0,0.0,0.0,0.0,0.0,False
v0019,video,720,480,1.5,,,,,,,,,,,,512,,,,30.00402738622634,14.898,447.0,20.10553779533844,0.0,0.13204952678918946,,False,0.0,0.0,0.0,0.0,0.0,0.0,False
v0020,video,1920,1080,1.7777777777777777,,,,,,,,,,,,512,,,,23.976023976023978,15.014999999999999,360.0,19.777320734887187,7.0,0.25611566697110555,,False,0.0,0.0,0.0,0.0,0.0,0.0,False
v0021,video,720,576,1.25,,,,,,,,,,,,512,,,,30.00204095516702,14.699,441.0,27.388238262957636,4.0,0.06231197082232999,,False,0.0,0.0,0.0,0.0,0.0,0.0,False
v0022,video,1080,1920,0.5625,,,,,,,,,,,,512,,,,30.0,20.333333333333332,610.0,10.471272834683642,3.0,0.27386732591238994,,False,0.0,0.0,0.0,0.0,0.0,0.0,False
v0023,video,720,1280,0.5625,,,,,,,,,,,,512,,,,30.0,7.966666666666667,239.0,16.32930938946759,0.0,0.2971558565836392,,False,0.0,0.0,0.0,0.0,0.0,0.0,False
